id;user_id;hotel_id;hotel_name;hotel_stars;city_tax;address;begin_date;end_date;price_per_night;includes_breakfast;room_details;rating;comment
Book0000000057;SPinho;HTL1404;Spree Riverfront Hotel;4;3;1404 Schiffbauerdamm, Berlin;2021/07/20;2021/07/22;200;true;Occupancy: 2 Guests;2;The rooftop bar has amazing cocktails.
Book0000000087;JCardoso1920;HTL1401;Brandenburg Gate Hotel;4;3;1401 Pariser Platz, Berlin;2021/07/20;2021/07/21;220;true;Room Size: 300 sq ft;4;Spa facilities were top-notch.
Book0000000101;JorFaria;HTL101;Eiffel Tower View Hotel;4;2;101 Rue de la Tour Eiffel, Paris;2022/07/20;2022/07/19;220;true;Amenities: Air Conditioning;1;Easy access to tourist attractions.
Book0000000105;LeonoBorges2020;HTL102;Louvre Palace Hotel;5;2;102 Rue du Louvre, Paris;2022/07/19;2022/07/23;300;true;Occupancy: 4 Guests;2;
Book0000000134;JuliVicente;HTL901;Alfama District Hotel;3;2;901 Rua dos Bacalhoeiros, Lisbon;2023/09/01;2023/09/02;120;true;Room Type: Standard;3;
Book0000000139;SanMonteiro1813;HTL901;Alfama District Hotel;3;2;901 Rua dos Bacalhoeiros, Lisbon;2023/09/01;2023/09/02;120;true;Room Size: 300 sq ft;3;Easy access to tourist attractions.
Book0000000145;WilsSilva;HTL902;Bairro Alto Suites;4;2;902 Rua da Rosa, Lisbon;2023/09/01;2023/09/04;190;true;Room Type: Family Suite;2;
Book0000000155;SPinho687;HTL903;Belém Riverside Hotel;4;2;903 Avenida de Brasília, Lisbon;2023/09/01;2023/09/02;220;true;Bathroom: Shower;1;Impressive lobby and amenities.
Book0000000166;FranAraújo1620;HTL501;Sagrada Familia Hotel;4;2;501 Carrer de Mallorca, Barcelona;2021/02/12;2021/02/13;180;true;Amenities: Free Wi-Fi;3;Staff was friendly and accommodating.
Book0000000176;RiAlmeida552;HTL505;Eixample View Hotel;5;2;505 Carrer d'Enric Granados, Barcelona;2021/02/12;2021/02/14;300;true;Room Type: Standard;2;The hotel has a modern and stylish design.
